Table 日期:
                      0     1     2
0                    日期  row1  row2
1   2025-04-07 00:00:00     1     2
2   2025-04-08 00:00:00     1     2
3   2025-04-09 00:00:00     1     2
4   2025-04-10 00:00:00     1     2
5   2025-04-11 00:00:00     1     2
6   2025-04-12 00:00:00     1     2
7   2025-04-13 00:00:00     1     2
8   2025-04-14 00:00:00     1     2
9   2025-04-15 00:00:00     1     2
10  2025-04-16 00:00:00     1     2
11  2025-04-17 00:00:00     1     2
12  2025-04-18 00:00:00     1     2
13  2025-04-19 00:00:00     1     2
14  2025-04-20 00:00:00     1     2
15  2025-04-21 00:00:00     1     2
16  2025-04-22 00:00:00     1     2
17  2025-04-23 00:00:00     1     2
18  2025-04-24 00:00:00     1     2
19  2025-04-25 00:00:00     1     2

